ID_sequencing,ID_Environmental,Longitude,Latitude,Continent,Clay_silt,Soil_C,Soil_N,Soil_P,Soil_C_N_ratio,pH,Aridity_Index,MDR,MAXT,MINT,PSEA,Forest,Grassland,Shrubland,UV_Light,NPP2003_2015,Ecosystem_type,Low_pH_cluster,Drylands_cluster,High_pH_cluster,Dry_forest_cluster,Low_productivity_cluster
32,32,10.372,46.631,Europe,42.45,3.132,0.426,670.538,7.353,5.4,2.439,5.9,11.6,-9.6,29,0,1,0,6.008,0.242544889,Cold grasslands,0.325603981,-0.576221673,-0.41691188,-0.527538779,-0.470888607
33,33,-96.583,39.071,North_America,92,3.344,0.242,446.667,13.811,5.6,0.761,12.6,32.1,-9,50,0,1,0,6.41,0.475787455,Grasslands,-0.081492177,-0.074882225,-0.180373064,-0.103224559,0.118685098
34,34,-123.380,48.460,North_America,64.7,5.524,0.374,1007.284,14.77,5.8,1.074,7.4,20.3,1.8,64,0,1,0,4.324,0.585039006,Grasslands,0.25272242,-0.545289323,-0.464269564,-0.481897014,-0.553894643
35,35,-120.240,39.430,North_America,49.3,4.267,0.997,567.867,4.28,6.1,0.858,16.1,25.9,-9.5,69,0,1,0,7.556,0.472481173,Grasslands,-0.254966928,-0.60247865,-0.427035333,-0.575424026,-0.537228677
36,36,-121.968,44.277,North_America,44,21.535,0.633,4111.04,34.021,5.4,1.935,12.2,23.8,-6.3,65,0,1,0,6.044,0.443837079,Grasslands,0.88565865,-0.637271753,-0.636060948,-0.088318561,-0.526779698
37,37,-93.385,41.785,North_America,12,1.041,0.066,265.494,15.775,5.6,0.849,11.8,29.6,-13.1,46,0,1,0,5.773,0.419634634,Cold grasslands,0.166791597,-0.462611323,-0.578459312,-0.428159101,-0.476456389
38,38,-96.880,31.480,North_America,80.2,4.189,0.27,585.501,15.515,7.5,0.606,12.6,35.6,2,26,0,1,0,8.136,0.496607955,Grasslands,-0.389582883,-0.549565204,0.130223245,-0.503977952,-0.472986293
39,39,-95.540,40.150,North_America,75.7,3.889,0.26,743.849,14.957,6.5,0.764,12.9,31.9,-10.6,48,0,1,0,6.139,0.428164833,Cold grasslands,-0.270339882,-0.343601988,-0.067821869,-0.44157556,-0.432784532
40,40,-96.520,40.160,North_America,67.7,3.177,0.22,354.559,14.44,7.6,0.714,13.1,31.9,-10.6,51,0,1,0,6.18,0.445982282,Cold grasslands,0.224750136,-0.420352893,-0.407945533,-0.265573054,-0.136043924
41,41,-96.810,40.870,North_America,63.5,4.423,0.25,476.564,17.691,7.2,0.679,12.5,31.5,-11.2,53,0,1,0,6.112,0.400580476,Cold grasslands,0.003306297,-0.352107718,-0.292041467,-0.230408624,-0.550544796
42,42,-97.110,41.610,North_America,80.1,5.001,0.35,879.281,14.289,6.1,0.669,13,31.1,-12.5,54,0,1,0,5.945,0.412416772,Cold grasslands,-0.042054384,-0.573451997,-0.272285945,-0.417891374,-0.510534947
43,43,-95.580,42.880,North_America,76.2,6.392,0.44,805.791,14.526,6.7,0.729,12.6,29.6,-15.1,54,0,1,0,5.689,0.414233886,Cold grasslands,-0.298470585,-0.436077406,0.067818061,-0.463819252,-0.54828574
44,44,-93.660,43.510,North_America,38.3,5.301,0.33,540.566,16.065,6.3,0.846,11.5,28.3,-15.8,53,0,1,0,5.37,0.369589224,Cold grasslands,-0.284573209,-0.566091373,0.105583836,-0.471470681,-0.566678185
